symbol,column_name,lookbacklen,period,movement,accuracy,success_buy,success_sell,pkl_filename,model_used,use_model,balanced,choice,frequency,timeframe,diff_type,docx_log_files_location
^NSEI,close,66,22,776.4203125,0.9523809523809524,93,73,All_Exports/02_Exported_Models/^NSEI_close_lb_66_pc_22_none_2021-02-03 14 55 12.pkl,ExtraTreesClassifier(),yes,no,none,low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEI_close_lb_66_pc_22_none_2021-02-03 14 55 12.docx
^NSEI,low,66,22,798.8695312500001,0.88,94,80,All_Exports/02_Exported_Models/^NSEI_low_lb_66_pc_22_none_2021-02-03 14 56 46.pkl,ExtraTreesClassifier(),yes,no,none,low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEI_low_lb_66_pc_22_none_2021-02-03 14 56 46.docx
^NSEI,high,66,22,754.3800781250001,0.9166666666666666,94,76,All_Exports/02_Exported_Models/^NSEI_high_lb_66_pc_22_none_2021-02-03 14 57 09.pkl,ExtraTreesClassifier(),yes,no,none,low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEI_high_lb_66_pc_22_none_2021-02-03 14 57 09.docx
^NSEI,open,66,22,773.5195312500001,0.9565217391304348,94,73,All_Exports/02_Exported_Models/^NSEI_open_lb_66_pc_22_none_2021-02-03 14 57 26.pkl,ExtraTreesClassifier(),yes,no,none,low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEI_open_lb_66_pc_22_none_2021-02-03 14 57 26.docx
^NSEBANK,close,66,22,2201.13984375,0.9655172413793104,93,80,All_Exports/02_Exported_Models/^NSEBANK_close_lb_66_pc_22_none_2021-02-03 14 58 00.pkl,ExtraTreesClassifier(),yes,no,none,low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEBANK_close_lb_66_pc_22_none_2021-02-03 14 58 00.docx
^NSEBANK,low,66,22,2209.459765625,0.8787878787878788,93,77,All_Exports/02_Exported_Models/^NSEBANK_low_lb_66_pc_22_none_2021-02-03 14 58 21.pkl,ExtraTreesClassifier(),yes,no,none,low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEBANK_low_lb_66_pc_22_none_2021-02-03 14 58 21.docx
^NSEBANK,high,66,22,2209.848828125,0.9310344827586208,94,85,All_Exports/02_Exported_Models/^NSEBANK_high_lb_66_pc_22_none_2021-02-03 14 58 48.pkl,ExtraTreesClassifier(),yes,no,none,low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEBANK_high_lb_66_pc_22_none_2021-02-03 14 58 48.docx
^NSEBANK,open,66,22,2243.510546875,0.9285714285714286,92,75,All_Exports/02_Exported_Models/^NSEBANK_open_lb_66_pc_22_none_2021-02-03 14 59 04.pkl,ExtraTreesClassifier(),yes,no,none,low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEBANK_open_lb_66_pc_22_none_2021-02-03 14 59 04.docx
^NSEI,close,25,10,451.9376953125,0.8888888888888888,94,76,All_Exports/02_Exported_Models/^NSEI_close_lb_25_pc_10_Over_Sampling_2021-02-03 15 27 24.pkl,"BaggingClassifier(base_estimator=ExtraTreesClassifier(), max_samples=0.8)",yes,yes,Over_Sampling,very low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEI_close_lb_25_pc_10_Over_Sampling_2021-02-03 15 27 24.docx
^NSEI,close,25,10,451.9376953125,1.0,93,72,All_Exports/02_Exported_Models/^NSEI_close_lb_25_pc_10_none_2021-02-03 15 37 23.pkl,ExtraTreesClassifier(),yes,no,none,very low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEI_close_lb_25_pc_10_none_2021-02-03 15 37 23.docx
^NSEBANK,close,25,10,1527.3124999999989,0.7857142857142857,90,75,All_Exports/02_Exported_Models/^NSEBANK_close_lb_25_pc_10_none_2021-02-03 15 38 04.pkl,ExtraTreesClassifier(),yes,no,none,very low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEBANK_close_lb_25_pc_10_none_2021-02-03 15 38 04.docx
^NSEBANK,close,25,10,1527.3124999999989,0.75,90,90,All_Exports/02_Exported_Models/^NSEBANK_close_lb_25_pc_10_none_2021-02-03 15 38 47.pkl,ExtraTreesClassifier(),yes,no,none,very low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEBANK_close_lb_25_pc_10_none_2021-02-03 15 38 47.docx
^NSEBANK,close,25,10,1527.3124999999989,0.6428571428571429,92,80,All_Exports/02_Exported_Models/^NSEBANK_close_lb_25_pc_10_none_2021-02-03 15 39 11.pkl,ExtraTreesClassifier(),yes,no,none,very low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEBANK_close_lb_25_pc_10_none_2021-02-03 15 39 11.docx
^NSEI,close,250,22,743.8505859374993,0.8888888888888888,95,82,All_Exports/02_Exported_Models/^NSEI_close_lb_250_pc_22_none_2021-02-03 15 41 44.pkl,ExtraTreesClassifier(),yes,no,none,very low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEI_close_lb_250_pc_22_none_2021-02-03 15 41 44.docx
^NSEBANK,close,250,22,2354.65458984375,0.8857142857142857,95,67,All_Exports/02_Exported_Models/^NSEBANK_close_lb_250_pc_22_none_2021-02-03 15 42 19.pkl,ExtraTreesClassifier(),yes,no,none,very low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEBANK_close_lb_250_pc_22_none_2021-02-03 15 42 19.docx
^NSEBANK,close,250,22,2354.65458984375,1.0,95,70,All_Exports/02_Exported_Models/^NSEBANK_close_lb_250_pc_22_none_2021-02-03 15 45 36.pkl,ExtraTreesClassifier(),yes,no,none,very low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEBANK_close_lb_250_pc_22_none_2021-02-03 15 45 36.docx
^NSEI,close,250,22,743.8505859374993,0.8333333333333334,96,81,All_Exports/02_Exported_Models/^NSEI_close_lb_250_pc_22_none_2021-02-03 15 46 57.pkl,ExtraTreesClassifier(),yes,no,none,very low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEI_close_lb_250_pc_22_none_2021-02-03 15 46 57.docx
^NSEI,close,250,66,1411.5498046875,1.0,100,100,All_Exports/02_Exported_Models/^NSEI_close_lb_250_pc_66_none_2021-02-03 15 48 47.pkl,ExtraTreesClassifier(),yes,no,none,very low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEI_close_lb_250_pc_66_none_2021-02-03 15 48 47.docx
^NSEBANK,close,250,66,4737.39990234375,1.0,98,100,All_Exports/02_Exported_Models/^NSEBANK_close_lb_250_pc_66_none_2021-02-03 15 50 01.pkl,ExtraTreesClassifier(),yes,no,none,very low,1d,no,All_Exports/03_Model_Logs/Docx_Logs/^NSEBANK_close_lb_250_pc_66_none_2021-02-03 15 50 01.docx
